date,index,ratio,odds,hcount,before,after,
2014/7/13,3,0.216,3.2,13,34100,7350,
2014/7/13,4,0.420,1.9,16,7350,3088,
2014/7/13,5,0.050,12.0,16,3088,155,
2014/7/20,1,0.108,7.0,13,6261156,679032,
2014/7/20,2,0.168,6.0,16,679032,114037,
2014/7/20,3,0.164,7.1,16,114037,18650,
2014/7/20,4,0.207,3.6,16,18650,3856,
2014/7/20,5,0.120,6.3,16,3856,461,
2014/7/27,1,0.051,13.8,15,6814877,347010,
2014/7/27,2,0.343,1.7,15,347010,119074,
2014/7/27,3,0.162,5.2,13,119074,19232,
2014/7/27,4,0.054,15.2,16,19232,1031,
2014/7/27,5,0.061,13.6,15,1031,63,
2014/8/3,1,0.175,4.8,16,6707033,1171443,
2014/8/3,2,0.058,11.4,15,1171443,68195,
2014/8/3,3,0.174,5.2,14,68195,11898,
2014/8/3,4,0.023,19.3,12,11898,272,
2014/8/3,5,0.195,3.5,12,272,53,
2014/8/10,1,0.073,10.6,11,6494623,475860,
2014/8/10,2,0.011,53.0,14,475860,5170,
2014/8/10,3,0.436,1.5,12,5170,2256,
2014/8/10,4,0.132,4.9,14,2256,298,
2014/8/10,5,0.185,3.3,15,298,55,
2014/8/17,1,0.069,8.8,12,6396313,442629,
2014/8/17,2,0.160,5.2,14,442629,70702,
2014/8/17,3,0.097,8.7,16,70702,6870,
2014/8/17,4,0.189,4.7,15,6870,1301,
2014/8/17,5,0.069,10.6,16,1301,90,
2014/8/24,1,0.385,1.9,11,7296380,2809301,
2014/8/24,2,0.062,10.8,16,2809301,173542,
2014/8/24,3,0.161,3.7,14,173542,27940,
2014/8/24,4,0.044,18.9,18,27940,1216,
2014/8/24,5,0.246,3.1,15,1216,299,
2014/8/31,1,0.092,9.1,17,6668997,615224,
2014/8/31,2,0.011,46.0,14,615224,7020,
2014/8/31,3,0.139,6.4,16,7020,979,
2014/8/31,4,0.106,5.3,12,979,104,
2014/8/31,5,0.240,4.1,18,104,25,
2014/9/7,1,0.011,35.2,16,6501893,74531,
2014/9/7,2,0.050,17.3,13,74531,3718,
2014/9/7,3,0.169,3.8,14,3718,628,
2014/9/7,4,0.008,120.2,17,628,5,
2014/9/7,5,0.000,4.6,18,5,0,
2014/9/14,1,0.149,4.5,7,15797446,2346725,
2014/9/14,2,0.198,3.9,8,2346725,465296,
2014/9/14,3,0.114,6.9,15,465296,53247,
2014/9/14,4,0.147,7.8,15,53247,7829,
2014/9/14,5,0.156,4.9,15,7829,1223,
2014/9/21,1,0.203,2.6,15,8550071,1738664,
2014/9/21,2,0.061,12.2,12,1738664,105304,
2014/9/21,3,0.006,138.0,11,105304,601,
2014/9/21,4,0.341,2.5,17,601,205,
2014/9/21,5,0.610,1.4,18,205,125,
2014/9/28,1,0.122,9.0,8,8435443,1029297,
2014/9/28,2,0.376,1.4,14,1029297,387065,
2014/9/28,3,0.004,294.3,15,387065,1620,
2014/9/28,4,0.749,1.6,16,1620,1213,
2014/9/28,5,0.049,7.2,18,1213,60,
2014/10/5,1,0.285,2.7,12,6857018,1955942,
2014/10/5,2,0.325,3.4,9,1955942,635711,
2014/10/5,3,0.086,10.1,18,635711,54878,
2014/10/5,4,0.165,5.8,13,54878,9076,
2014/10/5,5,0.014,46.5,18,9076,127,
2014/10/12,1,0.038,19.6,12,6643748,250384,
2014/10/12,2,0.327,2.4,11,250384,81893,
2014/10/12,3,0.237,3.3,16,81893,19437,
2014/10/12,4,0.003,94.8,16,19437,67,
2014/10/12,5,0.030,13.1,15,67,2,
2014/10/19,1,0.235,2.9,15,7724196,1817835,
2014/10/19,2,0.309,2.8,10,1817835,561240,
2014/10/19,3,0.146,5.6,16,561240,81989,
2014/10/19,4,0.638,1.4,8,81989,52280,
2014/10/19,5,0.063,10.1,17,52280,3287,
2014/10/26,1,0.069,11.3,10,7688078,530859,
2014/10/26,2,0.317,2.4,10,530859,168335,
2014/10/26,3,0.079,10.4,16,168335,13231,
2014/10/26,4,0.011,34.3,12,13231,143,
2014/10/26,5,0.119,6.9,18,143,17,
2014/11/2,1,0.246,3.6,15,7315915,1800486,
