date,index,ratio,odds,hcount,before,after,
2015/9/20,2,0.176,4.9,18,782842,137424,
2015/9/20,3,0.245,3.8,16,137424,33693,
2015/9/20,4,0.049,12.2,17,33693,1645,
2015/9/20,5,0.113,6.8,9,1645,186,
2015/9/21,1,0.176,4.9,11,4809161,844196,
2015/9/21,2,0.401,1.6,16,844196,338120,
2015/9/21,3,0.414,2.1,16,338120,140070,
2015/9/21,4,0.176,5.1,11,140070,24661,
2015/9/21,5,0.064,12.5,15,24661,1580,
2015/9/27,1,0.280,3.1,10,5908261,1654580,
2015/9/27,2,0.085,9.8,14,1654580,141356,
2015/9/27,3,0.078,9.3,16,141356,10999,
2015/9/27,4,0.093,8.0,15,10999,1018,
2015/9/27,5,0.119,7.6,15,1018,121,
2015/10/4,1,0.249,2.8,11,5831642,1451480,
2015/10/4,2,0.272,3.2,13,1451480,394534,
2015/10/4,3,0.082,7.7,16,394534,32453,
2015/10/4,4,0.396,2.5,16,32453,12840,
2015/10/4,5,0.204,4.4,15,12840,2619,
2015/10/11,1,0.208,3.7,15,5660578,1175127,
2015/10/11,2,0.240,3.4,10,1175127,282170,
2015/10/11,3,0.096,8.6,16,282170,27121,
2015/10/11,4,0.570,1.7,16,27121,15458,
2015/10/11,5,0.189,4.9,13,15458,2920,
2015/10/12,1,0.052,13.9,13,5288727,274497,
2015/10/12,2,0.128,5.9,9,274497,35253,
2015/10/12,3,0.385,2.0,11,35253,13582,
2015/10/12,4,0.263,3.1,10,13582,3566,
2015/10/12,5,0.038,19.2,16,3566,135,
2015/10/18,1,0.078,8.4,16,5818671,451616,
2015/10/18,2,0.254,3.7,11,451616,114896,
2015/10/18,3,0.065,13.5,18,114896,7414,
2015/10/18,4,0.140,6.5,12,7414,1038,
2015/10/18,5,0.309,3.0,18,1038,321,
2015/10/25,1,0.180,5.5,11,6314723,1134609,
2015/10/25,2,0.293,2.6,15,1134609,332291,
2015/10/25,3,0.016,32.6,15,332291,5166,
2015/10/25,4,0.187,3.8,15,5166,967,
2015/10/25,5,0.042,13.4,18,967,41,
2015/11/1,1,0.361,1.9,16,6406292,2312392,
2015/11/1,2,0.391,2.0,17,2312392,903243,
2015/11/1,3,0.295,3.0,14,903243,266695,
2015/11/1,4,0.611,1.8,11,266695,163014,
2015/11/1,5,0.268,3.4,18,163014,43675,
2015/11/8,1,0.315,2.6,16,6007691,1894740,
2015/11/8,2,0.189,4.4,17,1894740,357303,
2015/11/8,3,0.114,8.0,16,357303,40614,
2015/11/8,4,0.476,2.1,18,40614,19327,
2015/11/8,5,0.020,23.4,11,19327,389,
2015/11/15,1,0.271,3.2,16,5731055,1552023,
2015/11/15,2,0.256,3.3,14,1552023,397827,
2015/11/15,3,0.209,5.5,16,397827,83069,
2015/11/15,4,0.117,6.1,18,83069,9758,
2015/11/15,5,0.049,15.2,18,9758,476,
2015/11/22,1,0.082,8.0,9,5542377,453371,
2015/11/22,2,0.138,7.3,18,453371,62451,
2015/11/22,3,0.285,2.8,16,62451,17808,
2015/11/22,4,0.010,30.9,16,17808,183,
2015/11/22,5,0.126,5.7,18,183,23,
2015/11/23,1,0.493,1.7,12,4779681,2356343,
2015/11/23,2,0.036,17.3,18,2356343,85039,
2015/11/23,3,0.051,16.2,16,85039,4375,
2015/11/23,4,0.102,7.0,11,4375,446,
2015/11/23,5,0.166,5.2,10,446,74,
2015/11/29,1,0.058,12.7,9,6886511,397600,
2015/11/29,2,0.127,6.2,13,397600,50420,
2015/11/29,3,0.449,1.5,10,50420,22614,
2015/11/29,4,0.103,9.2,18,22614,2327,
2015/11/29,5,0.038,15.6,15,2327,88,
2015/12/6,1,0.123,6.5,15,5978333,736525,
2015/12/6,2,0.174,4.6,13,736525,128482,
2015/12/6,3,0.197,4.5,15,128482,25371,
2015/12/6,4,0.004,66.4,16,25371,98,
2015/12/6,5,0.194,4.1,16,98,19,
2015/12/13,1,0.023,26.4,13,6361119,144984,
2015/12/13,2,0.566,1.3,9,144984,81997,
2015/12/13,3,0.091,7.6,16,81997,7423,
2015/12/13,4,0.117,7.0,16,7423,866,
2015/12/13,5,0.305,2.5,18,866,264,
2015/12/20,1,0.009,70.4,16,6644317,58020,
2015/12/20,2,0.071,12.8,11,58020,4146,
2015/12/20,3,0.137,5.2,10,4146,566,
2015/12/20,4,0.127,6.9,10,566,72,
2015/12/20,5,0.069,5.9,16,72,5,
2015/12/27,1,0.193,4.7,15,9823041,1891124,
2015/12/27,2,0.203,4.0,10,1891124,383092,
2015/12/27,3,0.083,7.4,12,383092,31869,
2015/12/27,4,0.098,8.5,14,31869,3123,
2015/12/27,5,0.062,17.0,16,3123,194,
2016/1/5,1,0.205,4.6,10,5478006,1122283,
2016/1/5,2,0.052,10.4,10,1122283,58731,
2016/1/5,3,0.044,17.0,11,58731,2572,
2016/1/5,4,0.157,4.9,13,2572,403,
2016/1/5,5,0.149,6.1,17,403,60,
2016/1/10,1,0.156,5.1,16,6029695,940782,
2016/1/10,2,0.040,11.7,14,940782,37525,
2016/1/10,3,0.394,1.9,13,37525,14791,
2016/1/10,4,0.139,6.3,9,14791,2049,
2016/1/10,5,0.031,22.5,18,2049,64,
2016/1/11,1,0.602,1.4,10,5883684,3539178,
2016/1/11,2,0.030,25.9,16,3539178,105719,
2016/1/11,3,0.146,5.9,16,105719,15399,
2016/1/11,4,0.133,6.8,16,15399,2055,
2016/1/11,5,0.328,2.7,15,2055,675,
2016/1/17,1,0.072,13.9,10,6437805,463386,
2016/1/17,2,0.176,3.0,13,463386,81378,
2016/1/17,3,0.168,5.3,13,81378,13707,
2016/1/17,4,0.076,11.3,15,13707,1041,
2016/1/17,5,0.207,4.7,12,1041,215,
2016/1/24,1,0.201,3.9,14,6327484,1271234,
2016/1/24,2,0.037,12.9,12,1271234,46884,
2016/1/24,3,0.120,6.7,12,46884,5625,
2016/1/24,4,0.162,5.0,15,5625,909,
2016/1/24,5,0.230,3.4,15,909,209,
2016/1/31,1,0.392,2.0,9,7258080,2843510,
2016/1/31,2,0.218,4.5,14,2843510,619733,
2016/1/31,3,0.046,9.8,12,619733,28750,
2016/1/31,4,0.201,4.4,16,28750,5786,
2016/1/31,5,0.374,2.2,16,5786,2164,
2016/2/7,1,0.021,44.9,16,7491781,156417,
2016/2/7,2,0.138,5.5,14,156417,21616,
2016/2/7,3,0.049,14.0,9,21616,1052,
2016/2/7,4,0.634,1.2,9,1052,667,
2016/2/7,5,0.109,9.6,13,667,73,
2016/2/14,1,0.161,4.6,16,6706676,1080056,
2016/2/14,2,0.438,1.7,16,1080056,472540,
2016/2/14,3,0.096,10.9,15,472540,45262,
2016/2/14,4,0.072,9.2,15,45262,3246,
2016/2/14,5,0.036,22.6,10,3246,116,
2016/2/21,1,0.052,17.8,14,6473690,333746,
2016/2/21,2,0.254,3.2,13,333746,84699,
2016/2/21,3,0.142,5.7,16,84699,12066,
2016/2/21,4,0.198,4.9,10,12066,2385,
2016/2/21,5,0.179,5.1,16,2385,427,
2016/2/28,1,0.514,1.6,12,7244006,3721888,
2016/2/28,2,0.055,19.6,13,3721888,204169,
2016/2/28,3,0.451,1.7,13,204169,92149,
2016/2/28,4,0.212,3.8,18,92149,19543,
2016/2/28,5,0.338,2.1,11,19543,6598,
2016/3/6,1,0.504,1.5,11,7207547,3632260,
2016/3/6,2,0.353,2.3,14,3632260,1281223,
2016/3/6,3,0.097,7.8,15,1281223,124872,
2016/3/6,4,0.025,22.1,16,124872,3080,
2016/3/6,5,0.289,2.6,12,3080,889,
2016/3/13,1,0.241,3.2,14,6521894,1570058,
2016/3/13,2,0.009,58.8,13,1570058,13370,
2016/3/13,3,0.083,12.2,14,13370,1104,
2016/3/13,4,0.051,27.2,18,1104,56,
2016/3/13,5,0.143,8.3,16,56,8,
2016/3/20,1,0.166,4.7,16,6167888,1023577,
2016/3/20,2,0.219,3.9,11,1023577,224287,
2016/3/20,3,0.457,1.8,16,224287,102451,
2016/3/20,4,0.330,3.0,11,102451,33806,
2016/3/20,5,0.088,8.0,11,33806,2990,
2016/3/21,1,0.246,2.8,16,5273883,1299617,
2016/3/21,2,0.105,6.1,13,1299617,136494,
2016/3/21,3,0.132,6.7,15,136494,17974,
2016/3/21,4,0.083,12.5,12,17974,1483,
2016/3/21,5,0.256,2.9,16,1483,380,
2016/3/27,1,0.274,2.5,14,6792915,1862253,
2016/3/27,2,0.413,2.4,10,1862253,768554,
2016/3/27,3,0.190,4.2,16,768554,145967,
2016/3/27,4,0.026,20.4,15,145967,3800,
2016/3/27,5,0.188,3.9,18,3800,715,
2016/4/3,1,0.033,23.6,12,6982339,227312,
2016/4/3,2,0.382,1.7,10,227312,86902,
2016/4/3,3,0.262,2.6,15,86902,22760,
2016/4/3,4,0.211,3.9,11,22760,4808,
2016/4/3,5,0.067,13.0,16,4808,324,
2016/4/10,1,0.069,15.1,15,7332528,503858,
2016/4/10,2,0.171,3.1,16,503858,86403,
2016/4/10,3,0.025,21.5,16,86403,2158,
2016/4/10,4,0.277,2.2,16,2158,597,
2016/4/10,5,0.104,5.0,18,597,62,
2016/4/17,1,0.119,6.1,15,7373302,879549,
2016/4/17,2,0.178,4.5,16,879549,156843,
2016/4/17,3,0.027,19.0,15,156843,4276,
2016/4/17,4,0.201,4.3,11,4276,858,
2016/4/17,5,0.021,30.9,18,858,18,
2016/4/24,1,0.037,18.0,11,6396920,239574,
2016/4/24,2,0.110,7.9,16,239574,26333,
2016/4/24,3,0.420,2.1,16,26333,11050,
2016/4/24,4,0.067,9.1,15,11050,738,
2016/4/24,5,0.112,5.7,18,738,83,
2016/5/1,1,0.091,10.1,16,6794421,616825,
2016/5/1,2,0.042,19.8,16,616825,26012,
2016/5/1,3,0.161,5.0,15,26012,4186,
2016/5/1,4,0.223,4.0,18,4186,935,
2016/5/1,5,0.122,4.5,18,935,114,
2016/5/8,1,0.173,5.0,15,6350274,1099236,
2016/5/8,2,0.451,1.9,15,1099236,495830,
2016/5/8,3,0.027,19.4,16,495830,13353,
2016/5/8,4,0.078,12.6,18,13353,1048,
2016/5/8,5,0.303,2.3,18,1048,318,
2016/5/15,1,0.078,7.7,12,6117506,476183,
2016/5/15,2,0.189,4.2,12,476183,90110,
2016/5/15,3,0.130,7.2,15,90110,11687,
2016/5/15,4,0.291,2.5,16,11687,3397,
2016/5/15,5,0.042,17.7,18,3397,141,
2016/5/22,1,0.125,5.8,10,6634077,828318,
2016/5/22,2,0.051,13.9,18,828318,42174,
2016/5/22,3,0.210,3.4,16,42174,8849,
2016/5/22,4,0.061,11.9,15,8849,538,
2016/5/22,5,0.414,2.0,18,538,223,
2016/5/29,1,0.104,9.5,13,6654002,694985,
2016/5/29,2,0.051,11.8,13,694985,35302,
2016/5/29,3,0.084,13.2,18,35302,2948,
2016/5/29,4,0.279,2.2,18,2948,822,
2016/5/29,5,0.221,4.0,18,822,182,
2016/6/5,1,0.635,1.4,10,6991730,4442127,
2016/6/5,2,0.241,3.3,16,4442127,1069792,
2016/6/5,3,0.084,9.1,18,1069792,90168,
2016/6/5,4,0.068,8.9,8,90168,6125,
2016/6/5,5,0.024,36.9,12,6125,146,
2016/6/12,1,0.572,1.5,16,6403880,3663374,
2016/6/12,2,0.414,2.0,16,3663374,1517201,
2016/6/12,3,0.193,4.3,14,1517201,293189,
2016/6/12,4,0.087,10.8,14,293189,25629,
2016/6/12,5,0.279,2.8,18,25629,7138,
2016/6/19,1,0.133,5.5,16,6400343,851203,
2016/6/19,2,0.098,7.7,16,851203,83227,
2016/6/19,3,0.017,39.4,16,83227,1452,
2016/6/19,4,0.062,8.8,9,1452,90,
2016/6/19,5,0.244,2.9,16,90,22,
2016/6/26,1,0.145,6.1,16,7417127,1072127,
2016/6/26,2,0.220,3.8,16,1072127,235829,
2016/6/26,3,0.172,4.3,13,235829,40586,
2016/6/26,4,0.149,5.3,13,40586,6045,
2016/6/26,5,0.018,25.1,17,6045,110,
2016/7/3,1,0.049,13.8,12,6613138,325778,
2016/7/3,2,0.254,3.0,11,325778,82654,
2016/7/3,3,0.224,2.9,11,82654,18526,
2016/7/3,4,0.095,7.5,13,18526,1756,
2016/7/3,5,0.212,4.0,16,1756,372,
2016/7/10,1,0.204,4.4,13,6177735,1262481,
2016/7/10,2,0.030,23.0,15,1262481,37244,
2016/7/10,3,0.168,5.3,12,37244,6255,
2016/7/10,4,0.307,3.3,15,6255,1920,
2016/7/10,5,0.137,5.9,16,1920,264,
2016/7/17,1,0.128,5.9,8,6513569,830515,
2016/7/17,2,0.126,5.6,16,830515,104616,
2016/7/17,3,0.138,7.4,16,104616,14487,
2016/7/17,4,0.287,3.3,12,14487,4159,
2016/7/17,5,0.120,7.6,13,4159,498,
2016/7/24,1,0.061,11.7,15,6271793,382968,
2016/7/24,2,0.192,4.0,15,382968,73491,
2016/7/24,3,0.140,7.2,16,73491,10293,
2016/7/24,4,0.066,11.7,16,10293,683,
2016/7/24,5,0.209,4.1,9,683,143,
2016/7/31,1,0.040,20.2,13,6620029,267949,
2016/7/31,2,0.055,11.5,9,267949,14776,
2016/7/31,3,0.292,2.4,13,14776,4314,
2016/7/31,4,0.094,12.4,15,4314,404,
2016/7/31,5,0.089,15.3,15,404,36,
2016/8/7,1,0.170,4.7,14,5988669,1018019,
2016/8/7,2,0.013,36.6,12,1018019,13105,
2016/8/7,3,0.308,2.7,13,13105,4035,
2016/8/7,4,0.015,71.3,10,4035,62,
2016/8/7,5,0.177,3.6,15,62,11,
2016/8/14,1,0.023,28.5,12,5581723,129938,
2016/8/14,2,0.138,5.9,11,129938,17967,
2016/8/14,3,0.144,6.1,18,17967,2584,
2016/8/14,4,0.193,3.7,16,2584,500,
2016/8/14,5,0.074,11.8,18,500,37,
2016/8/21,1,0.026,21.7,12,6258661,164862,
2016/8/21,2,0.071,12.3,15,164862,11708,
2016/8/21,3,0.072,17.2,16,11708,842,
2016/8/21,4,0.005,146.4,16,842,4,
2016/8/21,5,0.250,3.7,17,4,1,
2016/8/28,1,0.080,9.6,9,5979798,475813,
2016/8/28,2,0.143,5.6,14,475813,67859,
2016/8/28,3,0.133,6.5,15,67859,9000,
2016/8/28,4,0.250,3.6,13,9000,2252,
2016/8/28,5,0.206,4.0,15,2252,464,
2016/9/4,1,0.119,8.3,13,5609086,665317,
2016/9/4,2,0.241,3.9,15,665317,160342,
2016/9/4,3,0.147,6.1,18,160342,23577,
2016/9/4,4,0.380,2.3,16,23577,8950,
2016/9/4,5,0.030,17.3,18,8950,265,
2016/9/11,1,0.379,1.9,10,5686641,2156809,
2016/9/11,2,0.594,1.6,8,2156809,1282193,
2016/9/11,3,0.012,37.4,16,1282193,15890,
2016/9/11,4,0.415,2.1,13,15890,6587,
2016/9/11,5,0.185,2.8,15,6587,1220,
2016/9/18,1,0.012,77.9,16,6363485,78572,
2016/9/18,2,0.291,2.3,11,78572,22838,
2016/9/18,3,0.070,17.4,14,22838,1598,
2016/9/18,4,0.533,1.6,15,1598,852,
2016/9/18,5,0.717,1.4,12,852,611,
2016/9/25,1,0.197,3.5,8,7249715,1428452,
2016/9/25,2,0.066,12.1,13,1428452,94574,
2016/9/25,3,0.101,8.4,16,94574,9524,
2016/9/25,4,0.666,1.2,15,9524,6340,
2016/9/25,5,0.427,2.0,12,6340,2709,
2016/10/2,1,0.049,17.7,12,5993573,295055,
2016/10/2,2,0.081,11.8,16,295055,23906,
2016/10/2,3,0.138,5.5,16,23906,3297,
2016/10/2,4,0.106,7.3,13,3297,350,
2016/10/2,5,0.089,9.2,16,350,31,
2016/10/9,1,0.193,3.9,13,5537355,1071239,
2016/10/9,2,0.110,7.7,13,1071239,117943,
2016/10/9,3,0.021,28.4,16,117943,2496,
2016/10/9,4,0.010,71.1,13,2496,24,
2016/10/9,5,0.250,3.3,12,24,6,
2016/10/10,1,0.052,16.9,15,5652756,291713,
2016/10/10,2,0.090,9.0,10,291713,26337,
2016/10/10,3,0.320,2.0,10,26337,8435,
2016/10/10,4,0.419,1.8,10,8435,3531,
2016/10/10,5,0.058,14.5,16,3531,205,
2016/10/16,1,0.245,3.3,13,6363634,1559959,
2016/10/16,2,0.616,1.6,7,1559959,961364,
2016/10/16,3,0.266,3.1,17,961364,255734,
2016/10/16,4,0.180,5.3,14,255734,46151,
2016/10/16,5,0.137,6.3,18,46151,6341,
2016/10/23,1,0.230,2.9,8,6866710,1580310,
2016/10/23,2,0.075,9.3,13,1580310,119162,
2016/10/23,3,0.035,14.6,14,119162,4203,
2016/10/23,4,0.124,7.1,16,4203,523,
2016/10/23,5,0.302,2.3,18,523,158,
2016/10/30,1,0.212,3.7,15,6920624,1469641,
2016/10/30,2,0.324,2.7,11,1469641,476329,
2016/10/30,3,0.053,11.8,14,476329,25359,
2016/10/30,4,0.106,7.9,12,25359,2698,
2016/10/30,5,0.203,3.6,15,2698,549,
2016/11/6,1,0.499,1.7,15,6273281,3129248,
2016/11/6,2,0.274,3.3,9,3129248,858257,
2016/11/6,3,0.075,10.0,16,858257,64287,
2016/11/6,4,0.203,3.9,15,64287,13036,
2016/11/6,5,0.111,7.6,16,13036,1445,
2016/11/13,1,0.533,1.6,14,6651746,3547993,
2016/11/13,2,0.292,2.6,13,3547993,1037077,
2016/11/13,3,0.058,14.5,16,1037077,59748,
2016/11/13,4,0.042,15.2,18,59748,2511,
2016/11/13,5,0.164,6.1,15,2511,413,
2016/11/20,1,0.254,3.3,16,6193855,1573439,
2016/11/20,2,0.182,5.1,15,1573439,286413,
2016/11/20,3,0.018,18.5,15,286413,5242,
2016/11/20,4,0.175,4.9,16,5242,918,
2016/11/20,5,0.108,5.9,18,918,99,
2016/11/27,1,0.030,22.5,16,6714927,204324,
2016/11/27,2,0.075,10.5,12,204324,15251,
2016/11/27,3,0.269,3.1,16,15251,4106,
2016/11/27,4,0.167,3.8,17,4106,685,
2016/11/27,5,0.210,4.1,18,685,144,
2016/12/4,1,0.048,20.4,18,6380689,305031,
2016/12/4,2,0.077,9.3,10,305031,23495,
2016/12/4,3,0.305,3.1,12,23495,7167,
2016/12/4,4,0.064,15.9,15,7167,458,
2016/12/4,5,0.186,7.1,14,458,85,
2016/12/11,1,0.532,1.3,13,6538633,3476194,
2016/12/11,2,0.231,3.0,13,3476194,803509,
2016/12/11,3,0.172,4.9,16,803509,138152,
2016/12/11,4,0.524,1.7,9,138152,72359,
2016/12/11,5,0.323,2.8,18,72359,23392,
2016/12/18,1,0.041,13.7,18,6373561,260857,
2016/12/18,2,0.506,1.8,10,260857,132055,
2016/12/18,3,0.206,3.3,14,132055,27251,
2016/12/18,4,0.329,2.6,13,27251,8972,
2016/12/18,5,0.086,14.2,18,8972,775,
2016/12/23,1,0.376,2.2,15,4250823,1596429,
2016/12/23,2,0.643,1.4,11,1596429,1026418,
2016/12/23,3,0.031,17.7,15,1026418,31615,
2016/12/23,4,0.417,2.1,8,31615,13195,
2016/12/23,5,0.132,6.4,18,13195,1741,
2016/12/25,1,0.302,2.0,15,9943665,3002702,
2016/12/25,2,0.052,13.2,10,3002702,155126,
2016/12/25,3,0.452,1.5,14,155126,70192,
2016/12/25,4,0.034,26.0,15,70192,2394,
2016/12/25,5,0.365,2.6,16,2394,874,
2017/1/5,1,0.518,1.6,15,5124960,2655605,
2017/1/5,2,0.250,3.7,13,2655605,664003,
2017/1/5,3,0.160,5.1,12,664003,106459,
2017/1/5,4,0.339,2.8,13,106459,36111,
2017/1/5,5,0.423,1.8,18,36111,15259,
2017/1/8,1,0.030,20.0,12,6114552,184328,
2017/1/8,2,0.267,2.8,16,184328,49221,
2017/1/8,3,0.251,3.1,9,49221,12335,
2017/1/8,4,0.022,36.0,16,12335,274,
2017/1/8,5,0.022,27.4,15,274,6,
2017/1/22,1,0.146,5.4,14,6119184,895678,
2017/1/22,2,0.044,20.4,16,895678,39716,
2017/1/22,3,0.304,2.6,16,39716,12058,
2017/1/22,4,0.023,21.8,14,12058,275,
2017/1/22,5,0.058,14.7,16,275,16,
2017/1/29,1,0.479,1.7,9,6305739,3020649,
2017/1/29,2,0.540,1.7,13,3020649,1630008,
2017/1/29,3,0.178,5.1,10,1630008,289337,
2017/1/29,4,0.123,6.7,13,289337,35459,
2017/1/29,5,0.227,3.0,16,35459,8050,
2017/2/5,1,0.079,7.8,6,7402270,588184,
2017/2/5,2,0.137,5.2,14,588184,80706,
2017/2/5,3,0.005,230.3,16,80706,407,
2017/2/5,4,0.118,17.2,7,407,48,
2017/2/5,5,0.146,6.4,10,48,7,
2017/2/12,1,0.196,5.0,12,5989106,1171370,
2017/2/12,2,0.223,4.1,16,1171370,260729,
2017/2/12,3,0.071,9.4,14,260729,18383,
2017/2/12,4,0.158,4.4,10,18383,2900,
2017/2/12,5,0.284,3.1,11,2900,825,
2017/2/19,1,0.057,12.0,10,6208290,354822,
2017/2/19,2,0.289,2.4,14,354822,102675,
2017/2/19,3,0.077,7.8,16,102675,7939,
2017/2/19,4,0.083,12.1,13,7939,661,
2017/2/19,5,0.165,5.0,16,661,109,
2017/2/26,1,0.091,13.2,15,6704325,610107,
2017/2/26,2,0.142,5.0,15,610107,86381,
2017/2/26,3,0.237,3.5,10,86381,20462,
2017/2/26,4,0.031,25.7,12,20462,638,
2017/2/26,5,0.129,7.1,11,638,82,
2017/3/5,1,0.100,8.3,16,6442437,641971,
2017/3/5,2,0.064,12.8,16,641971,41158,
2017/3/5,3,0.163,4.6,14,41158,6690,
2017/3/5,4,0.237,2.5,16,6690,1586,
2017/3/5,5,0.214,3.3,12,1586,339,
2017/3/12,1,0.179,4.3,9,6769501,1211235,
2017/3/12,2,0.574,1.5,10,1211235,695607,
2017/3/12,3,0.170,4.8,17,695607,118106,
2017/3/12,4,0.249,3.8,18,118106,29355,
2017/3/12,5,0.051,12.5,16,29355,1498,
2017/3/19,1,0.300,1.9,13,7334374,2200586,
2017/3/19,2,0.179,5.2,11,2200586,394027,
2017/3/19,3,0.026,27.9,16,394027,10379,
2017/3/19,4,0.782,1.1,10,10379,8115,
2017/3/19,5,0.143,8.1,11,8115,1161,
2017/3/20,1,0.199,4.5,13,5725722,1137889,
2017/3/20,2,0.219,3.1,17,1137889,248980,
2017/3/20,3,0.279,3.2,10,248980,69554,
2017/3/20,4,0.400,2.2,13,69554,27789,
2017/3/20,5,0.753,1.3,13,27789,20912,
2017/3/26,1,0.006,91.6,16,6253560,39498,
2017/3/26,2,0.181,4.0,9,39498,7164,
2017/3/26,3,0.322,2.6,11,7164,2309,
2017/3/26,4,0.019,25.4,16,2309,45,
2017/3/26,5,0.133,8.7,18,45,6,
2017/4/2,1,0.249,2.1,7,6260233,1558956,
2017/4/2,2,0.396,2.4,8,1558956,616769,
2017/4/2,3,0.133,5.2,8,616769,81988,
2017/4/2,4,0.071,11.2,16,81988,5808,
2017/4/2,5,0.304,2.4,14,5808,1768,
2017/4/9,1,0.082,12.7,16,6675259,546038,
2017/4/9,2,0.125,7.4,12,546038,68330,
2017/4/9,3,0.121,7.2,15,68330,8277,
2017/4/9,4,0.132,6.0,13,8277,1096,
2017/4/9,5,0.011,40.8,17,1096,12,
2017/4/16,1,0.203,4.4,16,6137305,1247649,
2017/4/16,2,0.054,17.1,15,1247649,67512,
2017/4/16,3,0.047,13.2,16,67512,3164,
2017/4/16,4,0.122,7.5,13,3164,385,
2017/4/16,5,0.062,22.4,18,385,24,
2017/4/23,1,0.055,14.4,12,5636123,309161,
2017/4/23,2,0.201,3.8,16,309161,62214,
2017/4/23,3,0.063,14.0,13,62214,3902,
2017/4/23,4,0.193,3.8,11,3902,753,
2017/4/23,5,0.021,37.2,18,753,16,
2017/4/30,1,0.330,2.4,11,6441497,2126510,
2017/4/30,2,0.016,27.3,16,2126510,33533,
2017/4/30,3,0.014,32.5,14,33533,474,
2017/4/30,4,0.080,6.4,18,474,38,
2017/4/30,5,0.368,2.2,17,38,14,
2017/5/7,1,0.083,10.7,12,5415769,450233,
2017/5/7,2,0.205,4.0,16,450233,92133,
2017/5/7,3,0.170,5.5,16,92133,15647,
2017/5/7,4,0.153,7.5,18,15647,2389,
2017/5/7,5,0.158,5.8,18,2389,377,
2017/5/14,1,0.229,3.7,10,5664445,1298388,
2017/5/14,2,0.039,16.7,13,1298388,50069,
2017/5/14,3,0.167,5.3,14,50069,8363,
2017/5/14,4,0.101,7.6,16,8363,843,
2017/5/14,5,0.057,13.5,17,843,48,
2017/5/21,1,0.016,33.6,10,5802611,94703,
2017/5/21,2,0.028,32.9,18,94703,2617,
2017/5/21,3,0.094,5.5,16,2617,247,
2017/5/21,4,0.211,4.5,11,247,52,
2017/5/21,5,0.269,2.4,18,52,14,
2017/5/28,1,0.300,2.4,16,5795081,1739035,
2017/5/28,2,0.223,4.1,16,1739035,388188,
2017/5/28,3,0.104,6.5,14,388188,40498,
2017/5/28,4,0.060,10.5,16,40498,2413,
2017/5/28,5,0.167,5.3,18,2413,403,
2017/6/4,1,0.402,2.1,10,5561603,2237963,
2017/6/4,2,0.382,2.2,16,2237963,855732,
2017/6/4,3,0.484,1.7,14,855732,414333,
2017/6/4,4,0.014,18.5,9,414333,5827,
2017/6/4,5,0.094,12.4,18,5827,549,
2017/6/11,1,0.161,5.8,16,5489403,884149,
2017/6/11,2,0.092,10.0,16,884149,81708,
2017/6/11,3,0.324,3.1,11,81708,26479,
2017/6/11,4,0.172,5.7,12,26479,4545,
2017/6/11,5,0.064,11.4,18,4545,289,
2017/6/18,1,0.185,4.8,13,5735360,1058201,
2017/6/18,2,0.266,3.0,12,1058201,281052,
2017/6/18,3,0.102,7.2,13,281052,28538,
2017/6/18,4,0.289,2.9,9,28538,8249,
2017/6/18,5,0.169,4.9,16,8249,1392,
2017/6/25,1,0.255,3.0,16,7509862,1916018,
2017/6/25,2,0.102,7.9,13,1916018,195042,
2017/6/25,3,0.011,44.2,15,195042,2179,
2017/6/25,4,0.089,9.3,9,2179,194,
2017/6/25,5,0.082,9.0,11,194,16,
2017/7/2,1,0.155,5.1,16,6196102,962909,
2017/7/2,2,0.042,19.8,16,962909,40200,
2017/7/2,3,0.576,1.5,8,40200,23162,
2017/7/2,4,0.128,5.7,18,23162,2967,
2017/7/2,5,0.136,4.4,12,2967,404,
2017/7/9,1,0.258,2.2,10,6479899,1671120,
2017/7/9,2,0.386,2.0,10,1671120,644965,
2017/7/9,3,0.636,1.5,14,644965,410139,
2017/7/9,4,0.129,7.0,15,410139,52769,
2017/7/9,5,0.268,3.4,12,52769,14126,
2017/7/16,1,0.188,5.3,15,5949497,1116524,
2017/7/16,2,0.338,2.8,15,1116524,377774,
2017/7/16,3,0.089,9.0,16,377774,33574,
2017/7/16,4,0.306,2.3,15,33574,10270,
2017/7/16,5,0.257,3.4,9,10270,2636,
2017/7/23,1,0.147,5.7,15,5441729,798393,
2017/7/23,2,0.179,6.1,15,798393,142523,
2017/7/23,3,0.277,3.0,15,142523,39450,
2017/7/23,4,0.083,9.0,16,39450,3275,
2017/7/23,5,0.208,3.8,7,3275,681,
2017/7/30,1,0.317,3.2,13,6068628,1923991,
2017/7/30,2,0.186,4.9,16,1923991,358416,
2017/7/30,3,0.013,38.7,16,358416,4496,
2017/7/30,4,0.323,3.0,11,4496,1452,
2017/7/30,5,0.115,6.1,15,1452,167,
2017/8/6,1,0.176,5.2,11,5896342,1035197,
2017/8/6,2,0.161,7.1,13,1035197,166247,
2017/8/6,3,0.014,66.3,14,166247,2269,
2017/8/6,4,0.336,2.2,11,2269,762,
2017/8/6,5,0.018,38.2,15,762,14,
2017/8/13,1,0.057,12.2,14,5372673,305223,
2017/8/13,2,0.168,4.6,10,305223,51209,
2017/8/13,3,0.049,12.1,16,51209,2486,
2017/8/13,4,0.220,2.7,13,2486,547,
2017/8/13,5,0.069,9.0,17,547,38,
2017/8/20,1,0.175,5.7,18,5330319,930204,
